Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Distance,Room
-64,-56,-61,-66,-71,-82,-81,95,1
-68,-57,-61,-65,-71,-85,-85,56,1
-63,-60,-60,-67,-76,-85,-84,55,1
-61,-60,-68,-62,-77,-90,-80,76,1
-63,-65,-60,-63,-77,-81,-87,72,1
-64,-55,-63,-66,-76,-88,-83,65,1
-65,-61,-65,-67,-69,-87,-84,65,1
-61,-63,-58,-66,-74,-87,-82,64,1
-65,-60,-59,-63,-76,-86,-82,69,1
-62,-60,-66,-68,-80,-86,-91,95,1
-67,-61,-62,-67,-77,-83,-91,92,1
-65,-59,-61,-67,-72,-86,-81,80,1
-63,-57,-61,-65,-73,-84,-84,66,1
-66,-60,-65,-62,-70,-85,-83,83,1
-61,-59,-65,-63,-74,-89,-87,57,1
-67,-60,-59,-61,-71,-86,-91,54,1
-63,-56,-60,-62,-70,-84,-91,56,1
-60,-54,-59,-65,-73,-83,-84,59,1
-60,-58,-60,-61,-73,-84,-88,93,1
-62,-59,-63,-64,-70,-84,-84,99,1
-63,-59,-64,-66,-72,-84,-90,85,1
-65,-59,-66,-65,-68,-82,-85,93,1
-63,-56,-63,-65,-72,-82,-89,95,1
-67,-60,-66,-65,-75,-86,-87,55,1
-63,-57,-67,-66,-79,-86,-89,64,1
-66,-59,-64,-68,-68,-97,-83,91,1
-65,-61,-64,-68,-77,-86,-89,67,1
-66,-57,-65,-69,-78,-85,-85,79,1
-67,-57,-64,-71,-75,-89,-87,90,1
-65,-62,-62,-65,-77,-84,-85,71,1
-61,-54,-60,-61,-74,-87,-83,93,1
-65,-53,-60,-62,-69,-85,-83,95,1
-66,-55,-63,-65,-68,-85,-90,56,1
-63,-57,-59,-67,-71,-82,-93,90,1
-63,-57,-62,-65,-76,-82,-88,62,1
-64,-57,-62,-67,-68,-83,-84,57,1
-68,-63,-68,-64,-74,-86,-84,51,1
-70,-62,-68,-65,-81,-89,-83,88,1
-67,-59,-62,-66,-80,-96,-82,69,1
-66,-59,-64,-67,-77,-87,-85,66,1
-66,-59,-65,-68,-75,-88,-84,100,1
-67,-59,-62,-65,-71,-91,-84,72,1
-69,-61,-62,-62,-75,-85,-84,80,1
-68,-58,-65,-65,-76,-87,-82,100,1
-66,-62,-64,-68,-73,-89,-83,70,1
-68,-58,-65,-67,-83,-89,-86,80,1
-65,-58,-62,-67,-77,-86,-91,78,1
-65,-58,-64,-69,-81,-88,-90,100,1
-65,-56,-63,-71,-77,-89,-85,98,1
-64,-59,-65,-70,-84,-90,-89,98,1
-64,-56,-64,-70,-80,-91,-84,76,1
-68,-57,-64,-68,-77,-88,-85,87,1
-67,-56,-65,-68,-82,-96,-89,57,1
-66,-69,-63,-69,-79,-88,-86,79,1
-68,-57,-62,-68,-77,-91,-86,69,1
-62,-58,-61,-68,-70,-85,-86,77,1
-63,-58,-66,-68,-75,-90,-93,74,1
-62,-58,-57,-65,-70,-82,-91,74,1
-64,-51,-57,-67,-68,-84,-82,96,1
-62,-56,-61,-67,-67,-81,-85,52,1
-63,-53,-60,-68,-67,-87,-85,71,1
-64,-54,-58,-69,-65,-86,-86,90,1
-62,-52,-61,-66,-65,-85,-89,84,1
-64,-54,-61,-63,-65,-88,-86,77,1
-58,-54,-61,-66,-75,-87,-86,55,1
-63,-55,-63,-68,-77,-87,-89,60,1
-64,-56,-64,-65,-75,-85,-90,53,1
-64,-56,-64,-67,-77,-81,-85,74,1
-63,-57,-65,-69,-77,-81,-85,63,1
-63,-61,-61,-68,-72,-87,-92,74,1
-59,-55,-62,-64,-68,-77,-86,66,1
-64,-57,-62,-68,-71,-85,-85,86,1
-66,-58,-56,-66,-79,-86,-93,96,1
-63,-59,-58,-64,-74,-82,-90,83,1
-66,-57,-57,-64,-69,-84,-90,51,1
-59,-60,-57,-62,-67,-80,-84,68,1
-60,-57,-55,-66,-69,-82,-89,60,1
-61,-55,-63,-64,-69,-83,-82,71,1
-61,-60,-57,-61,-74,-81,-82,70,1
-65,-60,-60,-62,-75,-83,-79,55,1
-65,-56,-65,-63,-68,-82,-93,76,1
-63,-60,-69,-65,-71,-85,-86,66,1
-62,-57,-60,-65,-72,-83,-87,71,1
-65,-60,-62,-63,-75,-85,-82,87,1
-65,-60,-62,-68,-69,-84,-89,80,1
-67,-56,-62,-70,-69,-86,-84,85,1
-67,-61,-63,-64,-71,-85,-84,87,1
-71,-62,-65,-68,-83,-85,-86,83,1
-68,-64,-66,-73,-81,-86,-83,87,1
-68,-63,-65,-74,-81,-84,-89,52,1
-70,-64,-63,-69,-83,-85,-87,66,1
-72,-63,-64,-70,-81,-85,-87,88,1
-73,-62,-66,-65,-81,-87,-89,88,1
-73,-61,-65,-65,-77,-89,-90,82,1
-73,-63,-65,-70,-80,-89,-93,85,1
